grid_lat,grid_lon,pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nr_scell1_cid,nr_scell1_freq,nr_scell2_cid,nr_scell2_freq,nr_scell3_cid,nr_scell3_freq,thput_sample_num,thput_0,thput_10,thput_25,thput_50,thput_75,thput_90,thput_100,thput_avg,thput_std
-86.916,40.448,483,950,None,None,None,None,None,None,None,None,None,None,None,None,None,None,34,4.592,7.344,7.344,9.232,10.64,10.64,10.64,8.732705882352942,1.6091481036179247
-86.9155,40.448,483,950,None,None,None,None,None,None,None,None,None,None,None,None,None,None,112,1.74608,4.210400000000001,4.6,6.784,14.22984,19.296608,28.61584,9.32742,6.185980523700345
-86.9155,40.448,409,5330,None,None,28,850,483,66486,85,66936,None,None,None,None,None,None,88,9.67264,12.824,14.688,16.992,20.236399999999996,24.274943999999998,34.83504,18.192981818181817,4.594315170836509
-86.9155,40.448,31,5145,None,None,None,None,None,None,None,None,None,None,None,None,None,None,293,0.024,0.41440000000000143,3.1955199999999997,7.4,10.456,15.177536000000002,34.47824,7.700957269624572,5.968259707505431
-86.9155,40.448,30,850,863,175450,429,66936,262,66486,None,None,None,None,None,None,None,None,6,1.288,1.288,1.288,1.288,1.288,1.288,1.288,1.288,0.0
-86.9155,40.448,30,850,66,175450,429,66936,262,66486,None,None,None,None,None,None,None,None,34,1.288,1.8424000000000005,3.136,3.936,4.218,6.287087999999999,23.528639999999996,4.481957647058823,3.7021881300014816
-86.9155,40.448,177,850,66,174770,429,66936,None,None,None,None,None,None,None,None,None,None,18,0.56,0.56,0.56,0.672,0.784,0.784,0.784,0.6720000000000002,0.11199999999999999
-86.9155,40.448,439,5330,None,None,208,850,483,66486,7,66936,None,None,None,None,None,None,49,4.4897599999999995,7.978368,10.832,15.050719999999998,18.641119999999997,20.602719999999998,26.4968,14.840646530612245,5.168001566255825
-86.9155,40.4475,483,950,None,None,None,None,None,None,None,None,None,None,None,None,None,None,80,3.544,3.544,8.016,11.8,18.23912,21.34536,30.816799999999997,13.401041999999999,6.277928000555278
-86.9155,40.4475,409,5330,None,None,28,850,483,66486,85,66936,None,None,None,None,None,None,53,3.23904,6.176448000000001,8.27056,19.136,21.304,25.328,31.94192,15.790822641509436,7.22439981476405
-86.9155,40.4475,31,5145,None,None,None,None,None,None,None,None,None,None,None,None,None,None,274,0.58448,2.56,3.936,7.336,10.736,13.533456000000001,28.4744,8.111447591240875,5.238624511282333
-86.9155,40.4475,30,850,66,175450,429,66936,262,66486,None,None,None,None,None,None,None,None,34,0.23135999999999998,1.048,1.4016399999999998,3.27968,4.9117999999999995,5.685408,12.447839999999998,3.5431247058823527,2.434741028784877
-86.9155,40.4475,439,5330,None,None,208,850,483,66486,7,66936,None,None,None,None,None,None,25,6.5112,10.091776000000001,13.673919999999999,18.774079999999998,26.7288,28.700864000000003,33.38832,19.41256,7.478606011300234
-86.915,40.4475,483,950,None,None,None,None,None,None,None,None,None,None,None,None,None,None,29,3.152,3.152,3.152,3.544,24.946399999999997,26.383359999999996,34.57872,13.442173793103448,11.198951047984256
-86.915,40.4475,409,5330,None,None,28,850,483,66486,85,66936,None,None,None,None,None,None,52,1.74384,10.441040000000001,20.64284,25.328,26.016,31.170351999999998,38.894239999999996,22.623113846153846,8.113419305207637
-86.915,40.4475,31,5145,None,None,None,None,None,None,None,None,None,None,None,None,None,None,55,1.9143999999999999,3.728,4.36,6.679199999999999,16.04796,21.091264,29.55352,10.303416727272733,7.374513966726968
-86.915,40.4475,30,850,66,175450,429,66936,262,66486,None,None,None,None,None,None,None,None,13,0.36527999999999994,1.1887999999999999,1.272,2.296,2.76416,3.222496,3.416,2.11264,0.9267991126452376
-86.915,40.4475,439,5330,None,None,208,850,483,66486,7,66936,None,None,None,None,None,None,28,5.7952,12.723552,16.71324,22.55744,27.053199999999997,31.036176,35.95664,21.991414285714285,7.396969494737803
-86.915,40.447,483,950,None,None,None,None,None,None,None,None,None,None,None,None,None,None,70,2.296,2.296,2.888,14.190879999999998,21.196959999999997,24.996256,43.27119999999999,12.783979428571428,10.142663762587347
-86.915,40.447,409,5330,None,None,28,850,483,66486,85,66936,None,None,None,None,None,None,49,7.0992,13.552768000000002,14.28,21.616,21.965279999999996,28.035872,35.719359999999995,19.40572081632653,6.1289925502173475
-86.915,40.447,31,5145,None,None,None,None,None,None,None,None,None,None,None,None,None,None,192,1.4389599999999998,4.184,5.0,6.928,8.76,12.501632000000006,33.7564,7.487502500000001,4.0984077603902564
-86.915,40.447,30,850,66,175450,429,66936,262,66486,None,None,None,None,None,None,None,None,35,0.12208,0.9054719999999999,1.68224,3.05728,4.70904,6.013120000000002,6.93488,3.2621074285714284,1.8558887771544053
-86.915,40.447,439,5330,None,None,208,850,483,66486,7,66936,None,None,None,None,None,None,26,5.28352,10.174479999999999,13.841719999999999,17.45208,24.76744,29.046079999999996,34.49664,19.012203076923075,7.444730415394383
-86.9145,40.447,483,950,None,None,None,None,None,None,None,None,None,None,None,None,None,None,41,2.024,2.48,2.48,10.568,19.41952,22.30576,41.64288,11.461447804878048,9.550244360516546
-86.9145,40.447,409,5330,None,None,28,850,483,66486,85,66936,None,None,None,None,None,None,50,1.37184,11.724800000000002,15.0644,20.384,25.456,30.157712,34.42064,20.1790208,7.394384193419176
-86.9145,40.447,31,5145,None,None,None,None,None,None,None,None,None,None,None,None,None,None,69,3.52,4.001024000000001,4.752,7.344,10.488,15.717728,26.03632,8.295802898550724,4.751681892530907
-86.9145,40.447,30,850,66,175450,429,66936,262,66486,None,None,None,None,None,None,None,None,18,0.36783999999999994,0.652672,1.478,2.34304,3.44244,7.88512,10.519039999999999,3.1944844444444445,2.8029844636153682
