grid_lat,grid_lon,grid_height,pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nrscell1_cid,nrscell1_freq,nrscell2_cid,nrscell2_freq,nrscell3_cid,nrscell3_freq,cell_set_type,total_avail_sample,avail_sample,avail_sample_ratio,total_thput_sample,thput_sample,thput_sample_ratio,thput_avg_dl,thput_std_dl,thput_0_dl,thput_10_dl,thput_25_dl,thput_50_dl,thput_75_dl,thput_90_dl,thput_100_dl,thput_avg_ul,thput_std_ul,thput_0_ul,thput_10_ul,thput_20_ul,thput_25_ul,thput_30_ul,thput_40_ul,thput_50_ul,thput_60_ul,thput_70_ul,thput_75_ul,thput_80_ul,thput_90_ul,thput_100_ul,rbs_avg,rbs_std,rbs_0,rbs_10,rbs_25,rbs_50,rbs_75,rbs_90,rbs_100
-86.9165,40.4625,0,47,1200,372,125290,50,1001,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,214,116,0.5420560747663551,178,106,0.5955056179775281,0.24840341419586698,0.10708695081458035,0.093,0.1725,0.20310714285714287,0.23464285714285713,0.2662857142857143,0.2995,1.032,51.3100539083558,13.169352336761085,27.37,36.054857142857145,40.893,42.080714285714286,42.8775,44.987,49.52571428571429,53.483,58.427,60.11207142857143,61.31542857142857,69.479,83.21828571428571,3.8746226415094336,1.551698506098071,3.0,3.0,3.0,3.065,4.135,5.75,13.06,
-86.9165,40.4625,0,393,1200,372,125290,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,214,8,0.037383177570093455,178,8,0.0449438202247191,0.21548214285714284,0.04136935037573352,0.139,0.1754,0.19925,0.20907142857142857,0.23978571428571427,0.2592,0.29,32.84260714285714,8.27066667190161,25.945,26.104599999999998,26.337799999999998,26.482,26.76147142857143,27.996771428571428,28.472357142857142,30.457028571428573,36.974128571428565,38.03660714285714,38.22065714285714,42.1288,50.757,4.9312499999999995,2.195332762362007,3.0,3.0,3.0,3.65,7.5425,7.718,8.04,
-86.9165,40.4625,0,47,1200,372,125290,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,214,10,0.04672897196261682,178,10,0.056179775280898875,0.26174285714285717,0.0705391134804815,0.198,0.2034,0.226,0.2435,0.26867857142857143,0.2961428571428571,0.45942857142857146,42.72855714285715,18.089557362106426,4.766857142857143,10.190514285714286,36.09862857142857,43.29125,44.8505,47.2232,50.6695,53.439,54.00612857142857,54.37982142857143,54.97674285714286,56.599914285714284,57.19314285714285,11.676,8.877836673424444,3.0,3.342,3.3875,9.415,17.0075,25.251,25.89,
-86.9165,40.4625,0,47,66736,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,214,2,0.009345794392523364,178,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-86.9165,40.4625,0,47,1200,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,214,10,0.04672897196261682,178,8,0.0449438202247191,0.19508928571428574,0.08428301864636113,0.101,0.1031,0.14375,0.177,0.21675,0.32721428571428574,0.34171428571428575,18.846125,8.617002675488445,6.784,11.1247,13.4066,13.7755,14.151,14.935,17.3565,19.8068,20.6916,21.60275,22.701400000000003,28.011799999999997,37.473,0.4375,1.1575161985907585,0.0,0.0,0.0,0.0,0.0,1.0499999999999994,3.5,
-86.9165,40.4625,0,393,1200,372,125290,408,1001,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,214,1,0.004672897196261682,178,1,0.0056179775280898875,0.138,0.0,0.138,0.138,0.138,0.138,0.138,0.138,0.138,21.216,0.0,21.216,21.216,21.216,21.216,21.216,21.216,21.216,21.216,21.216,21.216,21.216,21.216,21.216,7.11,0.0,7.11,7.11,7.11,7.11,7.11,7.11,7.11,
-86.9165,40.4625,0,47,1200,403,125290,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,214,1,0.004672897196261682,178,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-86.9165,40.4625,0,50,1001,515,520110,47,66736,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,214,9,0.04205607476635514,178,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-86.9165,40.4625,0,50,1001,10,520110,47,66736,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,214,13,0.06074766355140187,178,4,0.02247191011235955,0.09235714285714286,0.07365816662260935,0.018,0.018428571428571426,0.01907142857142857,0.09171428571428572,0.165,0.1668,0.168,3.5077142857142856,2.5388493215531756,0.3942857142857143,0.9565714285714286,1.5188571428571427,1.7999999999999998,2.0811428571428565,2.632857142857143,3.1792857142857143,3.725714285714285,4.4087999999999985,4.887,5.365200000000001,6.3216,7.278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-86.9165,40.4625,0,50,1001,None,None,47,66736,None,None,None,None,None,None,None,None,None,None,LTE,214,2,0.009345794392523364,178,1,0.0056179775280898875,0.106,0.0,0.106,0.106,0.106,0.106,0.106,0.106,0.106,7.99,0.0,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,46.0,0.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,
-86.9165,40.4625,0,50,1001,403,125290,47,66736,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,214,1,0.004672897196261682,178,1,0.0056179775280898875,0.197,0.0,0.197,0.197,0.197,0.197,0.197,0.197,0.197,18.39,0.0,18.39,18.39,18.39,18.39,18.39,18.39,18.39,18.39,18.39,18.39,18.39,18.39,18.39,16.96,0.0,16.96,16.96,16.96,16.96,16.96,16.96,16.96,
-86.9165,40.4625,0,50,1001,372,125290,47,66736,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,214,41,0.19158878504672897,178,39,0.21910112359550563,0.19428571428571428,0.060859240879414765,0.096,0.1164,0.148,0.19085714285714286,0.2382142857142857,0.2796571428571429,0.316,28.80216117216117,16.035755426664455,7.004,12.747,13.7446,15.199428571428571,16.003085714285714,19.063314285714288,23.385,28.92571428571429,41.06779999999999,43.46192857142857,46.228371428571435,50.9254,67.8697142857143,8.326923076923078,4.706299190553647,3.66,4.728000000000001,5.67,6.74,9.385000000000002,10.87800000000001,26.59,
-86.918,40.461,0,47,1200,372,125290,50,1001,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,14,12,0.8571428571428571,12,10,0.8333333333333334,0.24743333333333334,0.08283750300897477,0.165,0.17798571428571427,0.19575,0.22292857142857142,0.2540357142857143,0.3436333333333333,0.4573333333333333,45.07959523809524,33.706705353718284,7.846666666666667,21.847366666666666,24.583,25.977249999999998,27.9559,33.08508571428571,35.814571428571426,36.036,36.345085714285716,36.736714285714285,51.32480000000001,109.11807142857143,111.919,5.007,2.6228726617966034,3.0,3.0,3.0,3.335,7.654999999999999,8.984,9.2,
-86.918,40.461,0,47,1200,372,125290,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,14,2,0.14285714285714285,12,2,0.16666666666666666,0.24414285714285713,0.04985714285714285,0.19428571428571428,0.20425714285714286,0.2192142857142857,0.24414285714285713,0.2690714285714286,0.2840285714285714,0.294,53.54121428571429,10.809785714285713,42.73142857142857,44.893385714285714,47.05534285714286,48.13632142857143,49.2173,51.37925714285714,53.54121428571429,55.70317142857143,57.86512857142857,58.946107142857144,60.02708571428572,62.18904285714286,64.351,28.22,4.359999999999999,23.86,24.732,26.04,28.22,30.4,31.708,32.58,
-86.918,40.4615,0,47,1200,372,125290,50,1001,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,1,1,1.0,1,1,1.0,0.41714285714285715,0.0,0.41714285714285715,0.41714285714285715,0.41714285714285715,0.41714285714285715,0.41714285714285715,0.41714285714285715,0.41714285714285715,9.59657142857143,0.0,9.59657142857143,9.59657142857143,9.59657142857143,9.59657142857143,9.59657142857143,9.59657142857143,9.59657142857143,9.59657142857143,9.59657142857143,9.59657142857143,9.59657142857143,9.59657142857143,9.59657142857143,4.84,0.0,4.84,4.84,4.84,4.84,4.84,4.84,4.84,
-86.9175,40.4615,0,47,1200,372,125290,50,1001,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,24,10,0.4166666666666667,18,9,0.5,0.2184814814814815,0.02563555893297863,0.177,0.18366666666666667,0.197,0.224,0.23314285714285715,0.2398,0.263,29.32574074074074,8.549249719566255,17.722,18.87,20.643800000000002,21.635,22.231285714285715,24.366171428571427,29.328,35.484,37.318,37.51466666666666,38.0288,38.96525714285714,39.626285714285714,4.151111111111111,1.3074185289632938,3.0,3.0,3.0,4.0,4.5,6.072,6.84,
-86.9175,40.4615,0,47,1200,10,520110,50,1001,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,24,7,0.2916666666666667,18,4,0.2222222222222222,0.11314285714285714,0.09258200997725514,0.014857142857142857,0.022742857142857145,0.03457142857142857,0.09485714285714286,0.17342857142857143,0.2181714285714286,0.248,5.854,2.701053989290333,1.2422857142857142,2.959314285714286,4.676342857142857,5.534857142857143,6.393371428571427,6.9881142857142855,7.021714285714285,7.055314285714285,7.1829714285714275,7.340857142857143,7.498742857142857,7.814514285714285,8.130285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-86.9175,40.4615,0,47,1200,147,520110,50,1001,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,24,1,0.041666666666666664,18,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
