grid_lat,grid_lon,grid_height,total_sample,thput_mean,thput_std,thput_0,thput_5,thput_10,thput_25,thput_50,thput_75,thput_90,thput_95,thput_100,rbs_mean,rbs_std,rbs_0,rbs_25,rbs_50,rbs_75,rbs_100,rtt_mean,rtt_std,rtt_0,rtt_10,rtt_25,rtt_50,rtt_75,rtt_90,rtt_100,rsrp_mean,rsrp_std,rsrp_0,rsrp_10,rsrp_25,rsrp_50,rsrp_75,rsrp_90,rsrp_100,rsrq_mean,rsrq_std,rsrq_0,rsrq_10,rsrq_25,rsrq_50,rsrq_75,rsrq_90,rsrq_100
-86.9475,40.4675,0.0000,23.0000,22.7230,11.7083,9.7590,13.1643,14.0530,16.7170,20.5180,24.1349,32.3402,34.6907,70.0590,5.9439,2.2581,3.3500,4.2150,5.2100,7.3000,11.9700,724.0870,353.5140,231.0000,296.4000,424.0000,686.0000,951.0000,1249.6000,1398.0000,-107.4391,2.9085,-112.2200,-110.2460,-109.3800,-108.1000,-106.1950,-104.9680,-99.2200,-12.6696,0.6626,-13.7500,-13.5180,-12.9550,-12.8200,-12.3950,-11.8560,-10.7800
-86.9470,40.4670,0.0000,18.0000,22.0309,5.8179,8.6320,14.7503,15.9938,17.5285,21.9401,26.0625,28.9746,30.9937,32.1029,5.1150,1.5274,3.0200,4.2900,4.7850,5.6750,8.6900,926.6722,441.0442,68.1000,155.1000,728.2500,1025.5000,1280.2500,1305.2000,1659.0000,-108.2756,1.5625,-109.8400,-109.5840,-109.1775,-108.7150,-108.1250,-106.4760,-103.5800,-13.0594,0.7549,-13.9300,-13.7200,-13.5650,-13.3350,-12.9250,-11.5750,-11.4100
-86.9470,40.4675,0.0000,17.0000,27.9512,9.5667,15.2880,17.4091,19.4164,22.4770,27.3783,29.5400,32.6409,38.6555,60.9211,5.4888,0.8924,4.1100,5.0900,5.2500,5.7400,7.7200,894.8235,143.5353,620.0000,707.0000,832.0000,885.0000,946.0000,1082.8000,1172.0000,-108.0212,2.9138,-110.4100,-110.0300,-109.6600,-109.2300,-107.7800,-105.5040,-98.3300,-13.0300,0.7369,-13.8200,-13.6720,-13.3500,-13.1700,-13.0400,-12.3760,-10.7700
-86.9470,40.4680,0.0000,1.0000,24.8600,0.0000,24.8600,24.8600,24.8600,24.8600,24.8600,24.8600,24.8600,24.8600,24.8600,6.0800,0.0000,6.0800,6.0800,6.0800,6.0800,6.0800,1252.0000,0.0000,1252.0000,1252.0000,1252.0000,1252.0000,1252.0000,1252.0000,1252.0000,-109.5900,0.0000,-109.5900,-109.5900,-109.5900,-109.5900,-109.5900,-109.5900,-109.5900,-13.1600,0.0000,-13.1600,-13.1600,-13.1600,-13.1600,-13.1600,-13.1600,-13.1600
-86.9465,40.4675,0.0000,5.0000,24.1782,6.0716,19.8840,19.9870,20.0899,20.3989,21.0300,23.5154,31.0439,33.5534,36.0629,6.5120,1.8629,4.9000,5.0700,5.6500,7.0100,9.9300,984.0000,147.2196,791.0000,803.4000,822.0000,1059.0000,1119.0000,1125.0000,1129.0000,-109.5140,2.3980,-111.9200,-111.7040,-111.3800,-111.0400,-107.0300,-106.5320,-106.2000,-13.8260,0.3960,-14.5200,-14.2840,-13.9300,-13.7900,-13.4500,-13.4440,-13.4400
-86.9465,40.4680,0.0000,5.0000,23.2236,4.4835,16.9010,17.4352,17.9694,19.5720,24.0149,26.3303,28.1121,28.7061,29.3000,5.9360,0.8387,5.1700,5.3700,5.7900,5.8100,7.5400,1107.6000,149.8981,856.0000,937.2000,1059.0000,1155.0000,1155.0000,1249.8000,1313.0000,-110.7680,0.4694,-111.2200,-111.2120,-111.2000,-111.0100,-110.3000,-110.1860,-110.1100,-13.6040,0.2108,-13.8000,-13.7640,-13.7100,-13.7000,-13.6100,-13.3640,-13.2000
-86.9460,40.4670,0.0000,1.0000,37.8520,0.0000,37.8520,37.8520,37.8520,37.8520,37.8520,37.8520,37.8520,37.8520,37.8520,12.2900,0.0000,12.2900,12.2900,12.2900,12.2900,12.2900,793.0000,0.0000,793.0000,793.0000,793.0000,793.0000,793.0000,793.0000,793.0000,-109.1700,0.0000,-109.1700,-109.1700,-109.1700,-109.1700,-109.1700,-109.1700,-109.1700,-12.5200,0.0000,-12.5200,-12.5200,-12.5200,-12.5200,-12.5200,-12.5200,-12.5200
-86.9460,40.4675,0.0000,2.0000,40.0207,10.1507,29.8700,30.8851,31.9001,34.9454,40.0207,45.0961,48.1413,49.1564,50.1714,6.9200,1.7600,5.1600,6.0400,6.9200,7.8000,8.6800,517.0000,104.0000,413.0000,433.8000,465.0000,517.0000,569.0000,600.2000,621.0000,-103.8000,3.2800,-107.0800,-106.4240,-105.4400,-103.8000,-102.1600,-101.1760,-100.5200,-11.4900,0.1500,-11.6400,-11.6100,-11.5650,-11.4900,-11.4150,-11.3700,-11.3400
-86.9460,40.4680,0.0000,7.0000,23.3548,5.6885,15.6470,16.5898,17.5326,19.0949,22.9920,27.4735,31.3630,31.5355,31.7080,5.6386,0.4111,5.2200,5.3700,5.4900,5.7550,6.5100,898.2857,190.3513,721.0000,721.0000,770.0000,834.0000,950.0000,1146.0000,1293.0000,-110.4514,0.8360,-111.6900,-111.4020,-110.9250,-110.6200,-110.0250,-109.4600,-108.9500,-13.4343,0.3588,-14.0900,-13.8980,-13.6450,-13.3000,-13.1900,-13.0700,-12.9800
-86.9455,40.4670,0.0000,2.0000,30.7250,0.1410,30.5840,30.5981,30.6122,30.6545,30.7250,30.7955,30.8378,30.8519,30.8660,9.5350,0.7950,8.7400,9.1375,9.5350,9.9325,10.3300,793.5000,0.5000,793.0000,793.1000,793.2500,793.5000,793.7500,793.9000,794.0000,-108.0600,1.8000,-109.8600,-109.5000,-108.9600,-108.0600,-107.1600,-106.6200,-106.2600,-12.1450,0.2950,-12.4400,-12.3810,-12.2925,-12.1450,-11.9975,-11.9090,-11.8500
-86.9455,40.4680,0.0000,7.0000,17.3132,4.2908,10.4430,11.2260,12.0090,14.4135,17.9770,19.9407,22.0804,23.0722,24.0640,5.3186,0.4153,4.9600,5.0700,5.0800,5.4550,6.1400,1343.2857,220.9025,948.0000,1081.8000,1232.0000,1351.0000,1504.0000,1612.2000,1632.0000,-110.2129,0.7724,-110.8400,-110.8100,-110.7450,-110.4500,-110.1000,-109.2600,-108.5100,-13.2357,0.3325,-13.7500,-13.6540,-13.4350,-13.2400,-13.0400,-12.8360,-12.7100
-86.9455,40.4690,0.0000,3.0000,10.1822,2.0884,7.2320,7.6625,8.0930,9.3844,11.5369,11.6573,11.7296,11.7537,11.7778,13.3367,1.0744,12.3100,12.5950,12.8800,13.8500,14.8200,1978.6667,375.2380,1448.0000,1607.2000,1846.0000,2244.0000,2244.0000,2244.0000,2244.0000,-107.7533,1.0272,-108.7800,-108.6500,-108.4550,-108.1300,-107.2400,-106.7060,-106.3500,-11.6100,0.0572,-11.6800,-11.6660,-11.6450,-11.6100,-11.5750,-11.5540,-11.5400
-86.9455,40.4695,0.0000,47.0000,23.6570,6.6460,8.5316,13.5564,16.0082,20.6742,23.1093,26.5538,29.8206,36.4157,42.5564,8.6691,3.3452,3.8800,5.6300,8.6800,10.4750,16.8800,538.0085,579.8983,14.9000,16.3000,31.2000,87.9000,1090.0000,1379.8000,1653.0000,-101.9662,3.1077,-109.6400,-106.8040,-104.1500,-101.0000,-99.5600,-98.6540,-97.2000,-12.2357,0.6888,-14.0600,-13.0940,-12.6450,-12.2500,-11.6900,-11.3540,-10.8200
-86.9455,40.4700,0.0000,29.0000,15.9552,12.4235,1.0110,1.1384,3.5323,6.9653,10.9884,20.7209,36.8320,41.7356,43.0871,8.8686,11.7442,3.0000,3.0000,4.6900,5.4350,37.5200,128.1481,98.5233,18.4000,31.5400,52.3500,75.5000,219.0000,287.8000,314.0000,-101.6511,5.3359,-110.3300,-109.1260,-107.5100,-100.2700,-97.6450,-95.4420,-93.0100,-10.9522,0.3188,-11.5300,-11.4220,-11.1800,-10.9700,-10.6800,-10.5100,-10.5100
