index,region,failure_len,raf_ratio,optimal_threshold,rsrp_10,rsrp_25,rsrp_50,rsrp_75,rsrp_90,rsrp_failure_10,rsrp_failure_25,rsrp_failure_50,rsrp_failure_75,rsrp_failure_90
0.0000,A-R1,424.0000,0.6391,-99.4611,-108.0064,-103.7805,-98.6567,-92.1036,-83.0000,-107.0671,-104.0270,-100.2655,-95.6078,-90.3614
1.0000,A-R2,26.0000,0.7222,-102.3170,-107.6973,-104.2795,-99.9935,-95.0000,-90.4959,-111.4020,-108.6857,-104.6405,-98.3360,-92.8590
2.0000,A-R3,756.0000,0.9497,-82.7463,-104.4939,-96.3167,-83.4615,-75.1067,-68.6647,-94.2460,-89.2190,-82.0310,-74.9183,-69.2385
3.0000,A-R4,2023.0000,0.9961,-82.6692,-99.3255,-93.9918,-85.9004,-77.4162,-72.8787,-89.8360,-84.0000,-79.4380,-75.3360,-72.0294
4.0000,A-R5,7.0000,0.4118,-90.5862,-105.5400,-93.5666,-83.0004,-76.1502,-69.8942,-110.7892,-107.2265,-98.1720,-87.9570,-83.6156
5.0000,V-R6,245.0000,0.8362,-96.7136,-109.4156,-100.3611,-93.2472,-85.8734,-75.5093,-116.8562,-105.3910,-100.1800,-97.0620,-94.1002
6.0000,V-R7,23.0000,0.8276,-105.0521,-107.3753,-101.9645,-96.1042,-90.6419,-85.5646,-128.4012,-118.4885,-114.0000,-107.7500,-102.1394
7.0000,V-R8,7.0000,0.7000,-107.8830,-110.8182,-107.6770,-100.9141,-94.2106,-90.0003,-130.7000,-121.5430,-114.8520,-109.7500,-103.6392
8.0000,V-R9,45.0000,0.3117,-91.5909,-109.9597,-100.4578,-86.5878,-79.5080,-74.2500,-118.7388,-115.8120,-96.5940,-85.8360,-78.5498
9.0000,V-R10,52.0000,0.7761,-100.4379,-108.3237,-101.7683,-92.7117,-82.0958,-74.2769,-119.8441,-113.2518,-108.1640,-94.9885,-84.6317
10.0000,V-R11,19.0000,0.5278,-90.0293,-96.8899,-88.9182,-82.0356,-75.5089,-69.6918,-116.8848,-106.1990,-98.0230,-89.3750,-84.4986
11.0000,T-R12,60.0000,0.7143,-91.8872,-97.0395,-92.0000,-86.6183,-80.6703,-75.6739,-118.5149,-105.5335,-97.1560,-80.5998,-78.9007
12.0000,T-R13,25.0000,0.4643,-90.3360,-96.7264,-87.0000,-80.0000,-73.0000,-68.0000,-124.7752,-108.0000,-100.6720,-95.0000,-91.1720
