index,region,failure_len,raf_ratio,optimal_threshold,rsrp_10,rsrp_25,rsrp_50,rsrp_75,rsrp_90,rsrp_failure_10,rsrp_failure_25,rsrp_failure_50,rsrp_failure_75,rsrp_failure_90
0,A-R1,424,0.6391,-99.4611,-108.0064,-103.7805,-98.6567,-92.1036,-83,-107.0671,-104.027,-100.2655,-95.6078,-90.3614
1,A-R2,26,0.7222,-102.317,-107.6973,-104.2795,-99.9935,-95,-90.4959,-111.402,-108.6857,-104.6405,-98.336,-92.859
4,A-R5,7,0.4118,-90.5862,-105.54,-93.5666,-83.0004,-76.1502,-69.8942,-110.7892,-107.2265,-98.172,-87.957,-83.6156
5,V-R6,245,0.8362,-96.7136,-109.4156,-100.3611,-93.2472,-85.8734,-75.5093,-116.8562,-105.391,-100.18,-97.062,-94.1002
6,V-R7,23,0.8276,-105.0521,-107.3753,-101.9645,-96.1042,-90.6419,-85.5646,-128.4012,-118.4885,-114,-107.75,-102.1394
7,V-R8,7,0.7,-107.883,-110.8182,-107.677,-100.9141,-94.2106,-90.0003,-130.7,-121.543,-114.852,-109.75,-103.6392
8,V-R9,45,0.3117,-91.5909,-109.9597,-100.4578,-86.5878,-79.508,-74.25,-118.7388,-115.812,-96.594,-85.836,-78.5498
9,V-R10,52,0.7761,-100.4379,-108.3237,-101.7683,-92.7117,-82.0958,-74.2769,-119.8441,-113.2518,-108.164,-94.9885,-84.6317
10,V-R11,19,0.5278,-90.0293,-96.8899,-88.9182,-82.0356,-75.5089,-69.6918,-116.8848,-106.199,-98.023,-89.375,-84.4986
11,T-R12,60,0.7143,-91.8872,-97.0395,-92,-86.6183,-80.6703,-75.6739,-118.5149,-105.5335,-97.156,-80.5998,-78.9007
12,T-R13,25,0.4643,-90.336,-96.7264,-87,-80,-73,-68,-124.7752,-108,-100.672,-95,-91.172
